"ID";"ConsumptionByHouseholds";"Periods";"Indices_1";"VolumeChanges_2";"VolumeChangesShoppingdayAdjusted_3";"Indices_4";"ValueChanges_5";"PriceChanges_6"
"1439";"A047826";"2000KW02";"    80.4";"     1.8";"       .";"    75.7";"     3.6";"     1.8"
"1440";"A047826";"2000MM07";"    79.8";"     2.6";"       .";"    70.4";"     1.9";"    -0.6"
"1441";"A047826";"2000MM08";"    71.6";"    12.2";"       .";"    65.6";"     7.1";"    -4.5"
"1442";"A047826";"2000MM09";"    87.2";"    18.0";"       .";"    88.9";"    18.0";"     0.0"
"1443";"A047826";"2000KW03";"    79.5";"    10.7";"       .";"    75.0";"     9.4";"    -1.2"
"1444";"A047826";"2000MM10";"    84.4";"    -2.0";"       .";"    92.3";"     0.0";"     2.0"
"1445";"A047826";"2000MM11";"    77.3";"     8.0";"       .";"    83.0";"     9.6";"     1.5"
"1446";"A047826";"2000MM12";"    94.2";"     0.1";"       .";"    94.6";"     1.5";"     1.5"
"1447";"A047826";"2000KW04";"    85.3";"     1.6";"       .";"    90.0";"     3.3";"     1.7"
"1448";"A047826";"2001MM01";"    87.2";"     3.0";"       .";"    72.7";"     6.3";"     3.2"
"1449";"A047826";"2001MM02";"    70.4";"    -0.5";"       .";"    62.9";"     2.9";"     3.4"
"1450";"A047826";"2001MM03";"    86.4";"     4.9";"       .";"    86.4";"     8.9";"     3.9"
"1451";"A047826";"2001KW01";"    81.4";"     2.6";"       .";"    74.0";"     6.3";"     3.6"
"1452";"A047826";"2001MM04";"    75.6";"    -3.6";"       .";"    74.3";"    -0.4";"     3.4"
"1453";"A047826";"2001MM05";"    89.5";"     4.6";"       .";"    89.1";"     8.1";"     3.3"
"1454";"A047826";"2001MM06";"    81.5";"     5.7";"       .";"    77.2";"    10.2";"     4.2"
"1455";"A047826";"2001KW02";"    82.2";"     2.3";"       .";"    80.2";"     6.0";"     3.6"
"1456";"A047826";"2001MM07";"    77.0";"    -3.5";"       .";"    70.4";"     0.0";"     3.6"
"1457";"A047826";"2001MM08";"    73.5";"     2.7";"       .";"    69.6";"     6.0";"     3.2"
"1458";"A047826";"2001MM09";"    92.5";"     6.1";"       .";"    97.6";"     9.8";"     3.4"
"1459";"A047826";"2001KW03";"    81.0";"     1.9";"       .";"    79.2";"     5.6";"     3.7"
"1460";"A047826";"2001MM10";"    80.1";"    -5.1";"       .";"    92.2";"    -0.2";"     5.1"
"1461";"A047826";"2001MM11";"    76.3";"    -1.2";"       .";"    86.1";"     3.7";"     5.0"
"1462";"A047826";"2001MM12";"    91.9";"    -2.4";"       .";"    99.1";"     4.8";"     7.3"
"1463";"A047826";"2001KW04";"    82.8";"    -2.9";"       .";"    92.4";"     2.8";"     5.8"
"1464";"A047826";"2002MM01";"    79.6";"    -8.7";"       .";"    71.8";"    -1.3";"     8.1"
"1465";"A047826";"2002MM02";"    69.7";"    -1.1";"       .";"    66.1";"     5.0";"     6.1"
"1466";"A047826";"2002MM03";"    88.8";"     2.7";"       .";"    92.7";"     7.2";"     4.4"
"1467";"A047826";"2002KW01";"    79.4";"    -2.5";"       .";"    76.8";"     3.8";"     6.4"
"1468";"A047826";"2002MM04";"    82.1";"     8.6";"       .";"    80.0";"     7.6";"    -0.9"
"1469";"A047826";"2002MM05";"    86.5";"    -3.4";"       .";"    84.3";"    -5.3";"    -2.0"
"1470";"A047826";"2002MM06";"    88.0";"     8.0";"       .";"    81.7";"     5.9";"    -1.9"
"1471";"A047826";"2002KW02";"    85.5";"     4.1";"       .";"    82.0";"     2.3";"    -1.7"
"1472";"A047826";"2002MM07";"    76.1";"    -1.3";"       .";"    74.2";"     5.3";"     6.7"
"1473";"A047826";"2002MM08";"    72.2";"    -1.7";"       .";"    73.8";"     6.0";"     7.9"
"1474";"A047826";"2002MM09";"    81.8";"   -11.6";"       .";"    92.5";"    -5.2";"     7.2"
"1475";"A047826";"2002KW03";"    76.7";"    -5.3";"       .";"    80.1";"     1.2";"     6.9"
"1476";"A047826";"2002MM10";"    89.8";"    12.1";"       .";"   103.3";"    12.1";"     0.1"
"1477";"A047826";"2002MM11";"    76.0";"    -0.4";"       .";"    85.2";"    -1.1";"    -0.7"
"1478";"A047826";"2002MM12";"    94.1";"     2.4";"       .";"    99.3";"     0.3";"    -2.1"
"1479";"A047826";"2002KW04";"    86.6";"     4.7";"       .";"    96.0";"     3.8";"    -0.8"
"1480";"A047826";"2003MM01";"    84.4";"     6.0";"       .";"    74.2";"     3.3";"    -2.5"
"1481";"A047826";"2003MM02";"    73.5";"     5.5";"       .";"    68.1";"     3.1";"    -2.3"
"1482";"A047826";"2003MM03";"    84.0";"    -5.3";"       .";"    88.5";"    -4.5";"     0.9"
"1483";"A047826";"2003KW01";"    80.6";"     1.6";"       .";"    76.9";"     0.1";"    -1.5"
"1484";"A047826";"2003MM04";"    83.4";"     1.5";"       .";"    79.9";"    -0.1";"    -1.6"
"1485";"A047826";"2003MM05";"    85.0";"    -1.7";"       .";"    82.3";"    -2.4";"    -0.7"
"1486";"A047826";"2003MM06";"    84.2";"    -4.3";"       .";"    75.4";"    -7.8";"    -3.7"
"1487";"A047826";"2003KW02";"    84.2";"    -1.6";"       .";"    79.2";"    -3.4";"    -1.9"
"1488";"A047826";"2003MM07";"    73.8";"    -3.0";"       .";"    70.3";"    -5.2";"    -2.2"
"1489";"A047826";"2003MM08";"    69.2";"    -4.2";"       .";"    67.9";"    -7.9";"    -3.9"
"1490";"A047826";"2003MM09";"    77.0";"    -5.8";"       .";"    85.3";"    -7.8";"    -2.1"
"1491";"A047826";"2003KW03";"    73.3";"    -4.4";"       .";"    74.5";"    -7.0";"    -2.7"
"1492";"A047826";"2003MM10";"    89.8";"     0.0";"       .";"   100.9";"    -2.3";"    -2.3"
"1493";"A047826";"2003MM11";"    69.9";"    -8.1";"       .";"    77.8";"    -8.7";"    -0.7"
"1494";"A047826";"2003MM12";"    88.2";"    -6.3";"       .";"    92.5";"    -6.9";"    -0.6"
"1495";"A047826";"2003KW04";"    82.6";"    -4.6";"       .";"    90.4";"    -5.8";"    -1.2"
"1496";"A047826";"2004MM01";"    85.3";"     1.1";"       .";"    72.8";"    -1.8";"    -2.8"
"1497";"A047826";"2004MM02";"    67.8";"    -7.8";"       .";"    62.9";"    -7.7";"     0.1"
"1498";"A047826";"2004MM03";"    80.9";"    -3.8";"       .";"    84.1";"    -5.0";"    -1.2"
"1499";"A047826";"2004KW01";"    78.0";"    -3.3";"       .";"    73.3";"    -4.8";"    -1.5"
"1500";"A047826";"2004MM04";"    87.1";"     4.5";"       .";"    82.0";"     2.7";"    -1.7"
"1501";"A047826";"2004MM05";"    85.4";"     0.5";"       .";"    81.4";"    -1.1";"    -1.6"
"1502";"A047826";"2004MM06";"    88.1";"     4.7";"       .";"    77.0";"     2.1";"    -2.4"
"1503";"A047826";"2004KW02";"    86.9";"     3.2";"       .";"    80.1";"     1.2";"    -1.9"
"1504";"A047826";"2004MM07";"    80.8";"     9.5";"       .";"    74.5";"     6.0";"    -3.2"
"1505";"A047826";"2004MM08";"    69.4";"     0.4";"       .";"    68.6";"     1.0";"     0.7"
"1506";"A047826";"2004MM09";"    79.1";"     2.6";"       .";"    88.0";"     3.1";"     0.5"
"1507";"A047826";"2004KW03";"    76.4";"     4.2";"       .";"    77.0";"     3.4";"    -0.8"
"1508";"A047826";"2004MM10";"    83.2";"    -7.4";"       .";"    95.2";"    -5.7";"     1.8"
"1509";"A047826";"2004MM11";"    67.6";"    -3.3";"       .";"    75.7";"    -2.7";"     0.6"
"1510";"A047826";"2004MM12";"    93.1";"     5.6";"       .";"    95.0";"     2.7";"    -2.8"
"1511";"A047826";"2004KW04";"    81.3";"    -1.6";"       .";"    88.6";"    -2.0";"    -0.4"
"1512";"A047826";"2005MM01";"    81.9";"    -3.9";"       .";"    68.3";"    -6.2";"    -2.4"
"1513";"A047826";"2005MM02";"    65.6";"    -3.3";"       .";"    59.8";"    -4.9";"    -1.7"
"1514";"A047826";"2005MM03";"    84.6";"     4.6";"       .";"    86.2";"     2.4";"    -2.0"
"1515";"A047826";"2005KW01";"    77.4";"    -0.8";"       .";"    71.4";"    -2.5";"    -1.8"
"1516";"A047826";"2005MM04";"    80.6";"    -7.5";"       .";"    75.3";"    -8.2";"    -0.7"
"1517";"A047826";"2005MM05";"    77.5";"    -9.3";"       .";"    72.9";"   -10.4";"    -1.2"
"1518";"A047826";"2005MM06";"    89.3";"     1.3";"       .";"    76.9";"     0.0";"    -1.3"
"1519";"A047826";"2005KW02";"    82.4";"    -5.1";"       .";"    75.1";"    -6.3";"    -1.3"
"1520";"A047826";"2005MM07";"    79.1";"    -2.1";"       .";"    72.9";"    -2.2";"    -0.1"
"1521";"A047826";"2005MM08";"    74.6";"     7.4";"       .";"    70.9";"     3.3";"    -3.8"
"1522";"A047826";"2005MM09";"    78.5";"    -0.7";"       .";"    87.0";"    -1.1";"    -0.4"
"1523";"A047826";"2005KW03";"    77.4";"     1.3";"       .";"    76.9";"    -0.2";"    -1.4"
"1524";"A047826";"2005MM10";"    85.2";"     2.4";"       .";"    96.7";"     1.5";"    -0.9"
"1525";"A047826";"2005MM11";"    74.4";"    10.1";"       .";"    82.9";"     9.5";"    -0.6"
"1526";"A047826";"2005MM12";"    99.5";"     6.9";"       .";"   102.5";"     7.9";"     0.9"
"1527";"A047826";"2005KW04";"    86.4";"     6.2";"       .";"    94.0";"     6.1";"    -0.2"
"1528";"A047826";"2006MM01";"    88.1";"     7.6";"       .";"    73.0";"     6.8";"    -0.7"
"1529";"A047826";"2006MM02";"    71.0";"     8.3";"       .";"    63.4";"     6.0";"    -2.1"
"1530";"A047826";"2006MM03";"    85.3";"     0.9";"       .";"    86.3";"     0.1";"    -0.7"
"1531";"A047826";"2006KW01";"    81.5";"     5.3";"       .";"    74.2";"     3.9";"    -1.3"
"1532";"A047826";"2006MM04";"    86.2";"     7.0";"       .";"    80.2";"     6.5";"    -0.5"
"1533";"A047826";"2006MM05";"    91.3";"    17.8";"       .";"    85.6";"    17.4";"    -0.3"
"1534";"A047826";"2006MM06";"    91.7";"     2.7";"       .";"    79.6";"     3.4";"     0.7"
"1535";"A047826";"2006KW02";"    89.7";"     8.8";"       .";"    81.8";"     9.0";"     0.1"
"1536";"A047826";"2006MM07";"    84.5";"     6.8";"       .";"    77.5";"     6.3";"    -0.4"
"1537";"A047826";"2006MM08";"    86.9";"    16.5";"       .";"    86.5";"    22.0";"     4.8"
"1538";"A047826";"2006MM09";"    83.2";"     5.9";"       .";"    92.4";"     6.2";"     0.3"
"1539";"A047826";"2006KW03";"    84.8";"     9.6";"       .";"    85.5";"    11.1";"     1.4"
"1540";"A047826";"2006MM10";"    87.4";"     2.7";"       .";"    99.5";"     3.0";"     0.3"
"1541";"A047826";"2006MM11";"    82.1";"    10.3";"       .";"    92.0";"    11.1";"     0.7"
"1542";"A047826";"2006MM12";"   105.0";"     5.5";"       .";"   109.1";"     6.4";"     0.8"
"1543";"A047826";"2006KW04";"    91.5";"     6.0";"       .";"   100.2";"     6.6";"     0.6"
"1544";"A047826";"2007MM01";"    93.3";"     5.8";"       .";"    78.0";"     6.9";"     1.0"
"1545";"A047826";"2007MM02";"    80.4";"    13.2";"       .";"    71.1";"    12.2";"    -0.9"
"1546";"A047826";"2007MM03";"    97.9";"    14.7";"       .";"   102.4";"    18.7";"     3.5"
"1547";"A047826";"2007KW01";"    90.5";"    11.1";"       .";"    83.8";"    13.0";"     1.7"
"1548";"A047826";"2007MM04";"    94.8";"    10.0";"       .";"    91.3";"    13.9";"     3.5"
"1549";"A047826";"2007MM05";"    87.2";"    -4.5";"       .";"    83.2";"    -2.8";"     1.7"
"1550";"A047826";"2007MM06";"    98.6";"     7.6";"       .";"    87.1";"     9.5";"     1.8"
"1551";"A047826";"2007KW02";"    93.5";"     4.3";"       .";"    87.2";"     6.6";"     2.3"
"1552";"A047826";"2007MM07";"    88.9";"     5.2";"       .";"    84.0";"     8.3";"     2.9"
"1553";"A047826";"2007MM08";"    84.7";"    -2.5";"       .";"    85.1";"    -1.6";"     1.0"
"1554";"A047826";"2007MM09";"    92.8";"    11.5";"       .";"   103.0";"    11.6";"     0.0"
"1555";"A047826";"2007KW03";"    88.8";"     4.6";"       .";"    90.7";"     6.1";"     1.4"
"1556";"A047826";"2007MM10";"    91.5";"     4.7";"       .";"   104.3";"     4.8";"     0.1"
"1557";"A047826";"2007MM11";"    80.0";"    -2.6";"       .";"    89.2";"    -3.0";"    -0.4"
"1558";"A047826";"2007MM12";"   104.5";"    -0.5";"       .";"   107.9";"    -1.0";"    -0.6"
"1559";"A047826";"2007KW04";"    92.0";"     0.5";"       .";"   100.5";"     0.3";"    -0.2"
"1560";"A047826";"2008MM01";"    96.6";"     3.6";"       .";"    82.6";"     6.0";"     2.3"
"1561";"A047826";"2008MM02";"    86.0";"     7.0";"       .";"    79.1";"    11.2";"     3.9"
"1562";"A047826";"2008MM03";"    87.7";"   -10.4";"       .";"    92.9";"    -9.3";"     1.2"
"1563";"A047826";"2008KW01";"    90.1";"    -0.5";"       .";"    84.9";"     1.2";"     1.7"
"1564";"A047826";"2008MM04";"    89.8";"    -5.3";"       .";"    85.5";"    -6.4";"    -1.1"
"1565";"A047826";"2008MM05";"   100.3";"    14.9";"       .";"    94.4";"    13.4";"    -1.3"
"1566";"A047826";"2008MM06";"    92.6";"    -6.0";"       .";"    80.7";"    -7.4";"    -1.5"
"1567";"A047826";"2008KW02";"    94.2";"     0.7";"       .";"    86.8";"    -0.4";"    -1.2"
"1568";"A047826";"2008MM07";"    91.1";"     2.5";"       .";"    84.7";"     0.9";"    -1.6"
"1569";"A047826";"2008MM08";"    87.1";"     2.8";"       .";"    86.6";"     1.8";"    -1.0"
"1570";"A047826";"2008MM09";"    91.7";"    -1.2";"       .";"   101.9";"    -1.2";"     0.0"
"1571";"A047826";"2008KW03";"    89.9";"     1.3";"       .";"    91.1";"     0.4";"    -0.9"
"1572";"A047826";"2008MM10";"    93.2";"     1.8";"       .";"   105.6";"     1.3";"    -0.5"
"1573";"A047826";"2008MM11";"    79.5";"    -0.6";"       .";"    88.5";"    -0.9";"    -0.3"
"1574";"A047826";"2008MM12";"   100.4";"    -4.0";"       .";"   103.3";"    -4.3";"    -0.3"
"1575";"A047826";"2008KW04";"    91.0";"    -1.1";"       .";"    99.1";"    -1.3";"    -0.3"
"1576";"A047826";"2009MM01";"   100.6";"     4.1";"       .";"    82.6";"     0.0";"    -4.0"
"1577";"A047826";"2009MM02";"    80.4";"    -6.5";"       .";"    71.6";"    -9.5";"    -3.2"
"1578";"A047826";"2009MM03";"    84.0";"    -4.2";"       .";"    89.9";"    -3.2";"     1.0"
"1579";"A047826";"2009KW01";"    88.3";"    -2.0";"       .";"    81.4";"    -4.1";"    -2.2"
"1580";"A047826";"2009MM04";"    94.1";"     4.8";"       .";"    89.6";"     4.8";"     0.0"
"1581";"A047826";"2009MM05";"    90.7";"    -9.6";"       .";"    85.1";"    -9.8";"    -0.3"
"1582";"A047826";"2009MM06";"    92.4";"    -0.3";"       .";"    79.8";"    -1.1";"    -0.8"
"1583";"A047826";"2009KW02";"    92.4";"    -1.9";"       .";"    84.8";"    -2.3";"    -0.4"
"1584";"A047826";"2009MM07";"    96.1";"     5.6";"       .";"    88.0";"     3.8";"    -1.6"
"1585";"A047826";"2009MM08";"    79.7";"    -8.5";"       .";"    78.8";"    -9.1";"    -0.7"
"1586";"A047826";"2009MM09";"    88.8";"    -3.2";"       .";"    98.4";"    -3.4";"    -0.2"
"1587";"A047826";"2009KW03";"    88.2";"    -1.9";"       .";"    88.4";"    -2.9";"    -1.0"
"1588";"A047826";"2009MM10";"    95.2";"     2.2";"       .";"   108.4";"     2.6";"     0.4"
"1589";"A047826";"2009MM11";"    73.7";"    -7.2";"       .";"    82.4";"    -6.8";"     0.5"
"1590";"A047826";"2009MM12";"   102.7";"     2.3";"       .";"   102.9";"    -0.4";"    -2.7"
"1591";"A047826";"2009KW04";"    90.5";"    -0.5";"       .";"    97.9";"    -1.2";"    -0.7"
"1592";"A047826";"2010MM01";"    93.1";"    -7.4";"       .";"    77.8";"    -5.8";"     1.7"
"1593";"A047826";"2010MM02";"    79.5";"    -1.2";"       .";"    70.4";"    -1.6";"    -0.4"
"1594";"A047826";"2010MM03";"    89.9";"     7.1";"       .";"    95.7";"     6.4";"    -0.7"
"1595";"A047826";"2010KW01";"    87.5";"    -0.9";"       .";"    81.3";"    -0.1";"     0.9"
"1596";"A047826";"2010MM04";"    90.9";"    -3.4";"       .";"    89.6";"     0.0";"     3.5"
"1597";"A047826";"2010MM05";"    88.8";"    -2.0";"       .";"    86.5";"     1.6";"     3.7"
"1598";"A047826";"2010MM06";"   101.0";"     9.3";"       .";"    89.0";"    11.5";"     2.0"
"1599";"A047826";"2010KW02";"    93.6";"     1.3";"       .";"    88.4";"     4.1";"     2.8"
"1600";"A047826";"2010MM07";"    97.8";"     1.7";"       .";"    91.2";"     3.7";"     2.0"
"1601";"A047826";"2010MM08";"    87.3";"     9.5";"       .";"    84.1";"     6.8";"    -2.5"
"1602";"A047826";"2010MM09";"    98.9";"    11.4";"       .";"   107.5";"     9.2";"    -1.9"
"1603";"A047826";"2010KW03";"    94.7";"     7.3";"       .";"    94.3";"     6.7";"    -0.6"
"1604";"A047826";"2010MM10";"    93.5";"    -1.8";"       .";"   103.1";"    -4.9";"    -3.1"
"1605";"A047826";"2010MM11";"    79.8";"     8.2";"       .";"    87.5";"     6.2";"    -1.9"
"1606";"A047826";"2010MM12";"    97.8";"    -4.7";"       .";"    98.0";"    -4.8";"     0.0"
"1607";"A047826";"2010KW04";"    90.4";"    -0.2";"       .";"    96.2";"    -1.7";"    -1.6"
"1608";"A047826";"2011MM01";"    97.5";"     4.8";"       .";"    85.5";"     9.9";"     4.9"
"1609";"A047826";"2011MM02";"    83.9";"     5.5";"       .";"    78.7";"    11.8";"     5.9"
"1610";"A047826";"2011MM03";"    91.7";"     2.0";"       .";"   103.2";"     7.9";"     5.8"
"1611";"A047826";"2011KW01";"    91.0";"     4.0";"       .";"    89.1";"     9.6";"     5.4"
"1612";"A047826";"2011MM04";"    97.7";"     7.4";"       .";"    99.1";"    10.7";"     3.0"
"1613";"A047826";"2011MM05";"    91.5";"     3.1";"       .";"    91.7";"     6.0";"     2.8"
"1614";"A047826";"2011MM06";"    99.3";"    -1.8";"       .";"    90.8";"     2.1";"     3.9"
"1615";"A047826";"2011KW02";"    96.2";"     2.7";"       .";"    93.9";"     6.3";"     3.4"
"1616";"A047826";"2011MM07";"   100.6";"     2.9";"       .";"    92.8";"     1.8";"    -1.1"
"1617";"A047826";"2011MM08";"    88.4";"     1.3";"       .";"    85.6";"     1.8";"     0.5"
"1618";"A047826";"2011MM09";"    87.6";"   -11.4";"       .";"    97.4";"    -9.4";"     2.2"
"1619";"A047826";"2011KW03";"    92.2";"    -2.6";"       .";"    91.9";"    -2.5";"     0.1"
"1620";"A047826";"2011MM10";"    87.0";"    -7.0";"       .";"    94.8";"    -8.0";"    -1.1"
"1621";"A047826";"2011MM11";"    80.1";"     0.4";"       .";"    85.4";"    -2.4";"    -2.8"
"1622";"A047826";"2011MM12";"   101.0";"     3.3";"       .";"    98.7";"     0.7";"    -2.5"
"1623";"A047826";"2011KW04";"    89.4";"    -1.1";"       .";"    93.0";"    -3.3";"    -2.3"
"1624";"A047826";"2012MM01";"    96.5";"    -1.1";"       .";"    85.7";"     0.2";"     1.3"
"1625";"A047826";"2012MM02";"    82.1";"    -2.1";"       .";"    77.1";"    -2.0";"     0.1"
"1626";"A047826";"2012MM03";"    95.9";"     4.5";"       .";"   109.6";"     6.2";"     1.6"
"1627";"A047826";"2012KW01";"    91.5";"     0.5";"       .";"    90.8";"     1.9";"     1.4"
"1628";"A047826";"2012MM04";"    83.1";"   -14.9";"       .";"    87.0";"   -12.2";"     3.2"
"1629";"A047826";"2012MM05";"    94.1";"     2.8";"       .";"    97.0";"     5.8";"     2.9"
"1630";"A047826";"2012MM06";"    98.9";"    -0.4";"       .";"    93.2";"     2.6";"     3.0"
"1631";"A047826";"2012KW02";"    92.0";"    -4.3";"       .";"    92.4";"    -1.6";"     2.9"
"1632";"A047826";"2012MM07";"    94.4";"    -6.1";"       .";"    86.7";"    -6.7";"    -0.6"
"1633";"A047826";"2012MM08";"    85.7";"    -3.0";"       .";"    81.0";"    -5.4";"    -2.5"
"1634";"A047826";"2012MM09";"    94.0";"     7.3";"       .";"   101.1";"     3.8";"    -3.3"
"1635";"A047826";"2012KW03";"    91.4";"    -0.9";"       .";"    89.6";"    -2.6";"    -1.7"
"1636";"A047826";"2012MM10";"    90.3";"     3.8";"       .";"    97.9";"     3.3";"    -0.5"
"1637";"A047826";"2012MM11";"    78.2";"    -2.4";"       .";"    83.7";"    -2.0";"     0.5"
"1638";"A047826";"2012MM12";"   100.1";"    -1.0";"       .";"    98.1";"    -0.5";"     0.4"
"1639";"A047826";"2012KW04";"    89.5";"     0.2";"       .";"    93.3";"     0.3";"     0.2"
"1640";"A047826";"2013MM01";"    96.0";"    -0.5";"       .";"    86.7";"     1.1";"     1.6"
"1641";"A047826";"2013MM02";"    80.3";"    -2.2";"       .";"    76.5";"    -0.9";"     1.3"
"1642";"A047826";"2013MM03";"    85.2";"   -11.1";"       .";"   100.5";"    -8.3";"     3.1"
"1643";"A047826";"2013KW01";"    87.2";"    -4.7";"       .";"    87.9";"    -3.2";"     1.5"
"1644";"A047826";"2013MM04";"    85.5";"     2.9";"       .";"    90.1";"     3.5";"     0.5"
"1645";"A047826";"2013MM05";"    91.9";"    -2.4";"       .";"    95.8";"    -1.2";"     1.2"
"1646";"A047826";"2013MM06";"    98.3";"    -0.6";"       .";"    94.2";"     1.1";"     1.6"
"1647";"A047826";"2013KW02";"    91.9";"    -0.1";"       .";"    93.4";"     1.0";"     1.2"
"1648";"A047826";"2013MM07";"    95.3";"     0.9";"       .";"    92.2";"     6.4";"     5.5"
"1649";"A047826";"2013MM08";"    85.9";"     0.2";"       .";"    84.5";"     4.4";"     4.1"
"1650";"A047826";"2013MM09";"    90.8";"    -3.4";"       .";"    99.2";"    -1.8";"     1.7"
"1651";"A047826";"2013KW03";"    90.7";"    -0.8";"       .";"    92.0";"     2.7";"     3.5"
"1652";"A047826";"2013MM10";"    92.1";"     1.9";"       .";"    96.5";"    -1.5";"    -3.3"
"1653";"A047826";"2013MM11";"    83.6";"     6.9";"       .";"    86.3";"     3.0";"    -3.6"
"1654";"A047826";"2013MM12";"   100.7";"     0.7";"       .";"    96.8";"    -1.4";"    -2.0"
"1655";"A047826";"2013KW04";"    92.1";"     2.9";"       .";"    93.2";"    -0.1";"    -2.9"
"1656";"A047826";"2014MM01";"   101.9";"     6.1";"       .";"    93.5";"     7.9";"     1.7"
"1657";"A047826";"2014MM02";"    83.3";"     3.7";"       .";"    79.6";"     4.1";"     0.3"
"1658";"A047826";"2014MM03";"    88.9";"     4.4";"       .";"   104.6";"     4.0";"    -0.3"
"1659";"A047826";"2014KW01";"    91.4";"     4.8";"       .";"    92.5";"     5.3";"     0.5"
"1660";"A047826";"2014MM04";"    93.2";"     9.0";"       .";"    96.7";"     7.4";"    -1.4"
"1661";"A047826";"2014MM05";"   100.4";"     9.3";"       .";"   103.2";"     7.7";"    -1.5"
"1662";"A047826";"2014MM06";"    97.2";"    -1.1";"       .";"    93.5";"    -0.7";"     0.4"
"1663";"A047826";"2014KW02";"    96.9";"     5.5";"       .";"    97.8";"     4.8";"    -0.7"
"1664";"A047826";"2014MM07";"   100.4";"     5.3";"       .";"    95.2";"     3.2";"    -2.0"
"1665";"A047826";"2014MM08";"    95.2";"    10.7";"       .";"    93.2";"    10.3";"    -0.4"
"1666";"A047826";"2014MM09";"    86.0";"    -5.3";"       .";"    93.2";"    -6.1";"    -0.8"
"1667";"A047826";"2014KW03";"    93.8";"     3.5";"       .";"    93.9";"     2.1";"    -1.4"
"1668";"A047826";"2014MM10";"    97.2";"     5.5";"       .";"   101.1";"     4.8";"    -0.7"
"1669";"A047826";"2014MM11";"    88.1";"     5.5";"       .";"    90.6";"     5.0";"    -0.4"
"1670";"A047826";"2014MM12";"   105.7";"     4.9";"       .";"   102.3";"     5.7";"     0.8"
"1671";"A047826";"2014KW04";"    97.0";"     5.3";"       .";"    98.0";"     5.2";"    -0.1"
"1672";"A047826";"2015MM01";"   109.2";"     7.2";"       .";"    98.5";"     5.4";"    -1.8"
"1673";"A047826";"2015MM02";"    90.4";"     8.5";"       .";"    85.6";"     7.5";"    -0.9"
"1674";"A047826";"2015MM03";"    90.8";"     2.1";"       .";"   105.7";"     1.1";"    -1.0"
"1675";"A047826";"2015KW01";"    96.8";"     6.0";"       .";"    96.6";"     4.4";"    -1.5"
"1676";"A047826";"2015MM04";"    99.2";"     6.5";"       .";"   101.7";"     5.2";"    -1.2"
"1677";"A047826";"2015MM05";"   100.3";"    -0.1";"       .";"   101.6";"    -1.6";"    -1.5"
"1678";"A047826";"2015MM06";"   105.7";"     8.7";"       .";"   101.5";"     8.6";"    -0.1"
"1679";"A047826";"2015KW02";"   101.7";"     4.9";"       .";"   101.6";"     3.9";"    -1.0"
"1680";"A047826";"2015MM07";"   108.8";"     8.4";"       .";"   104.1";"     9.4";"     0.9"
"1681";"A047826";"2015MM08";"    93.7";"    -1.6";"       .";"    88.9";"    -4.7";"    -3.1"
"1682";"A047826";"2015MM09";"   101.5";"    18.1";"       .";"   109.7";"    17.7";"    -0.4"
"1683";"A047826";"2015KW03";"   101.3";"     8.0";"       .";"   100.9";"     7.5";"    -0.5"
"1684";"A047826";"2015MM10";"   102.6";"     5.6";"       .";"   107.0";"     5.8";"     0.2"
"1685";"A047826";"2015MM11";"    83.6";"    -5.1";"       .";"    86.6";"    -4.4";"     0.7"
"1686";"A047826";"2015MM12";"   114.2";"     8.1";"       .";"   109.2";"     6.7";"    -1.3"
"1687";"A047826";"2015KW04";"   100.1";"     3.2";"       .";"   100.9";"     3.0";"    -0.3"
"1688";"A047826";"2016MM01";"   108.0";"    -1.2";"       .";"    96.5";"    -2.0";"    -0.8"
"1689";"A047826";"2016MM02";"    91.0";"     0.7";"       .";"    85.6";"     0.0";"    -0.7"
"1690";"A047826";"2016MM03";"    94.1";"     3.6";"       .";"   106.8";"     1.1";"    -2.4"
"1691";"A047826";"2016KW01";"    97.7";"     0.9";"       .";"    96.3";"    -0.3";"    -1.2"
"1692";"A047826";"2016MM04";"    90.4";"    -8.9";"       .";"    99.7";"    -2.0";"     7.6"
"1693";"A047826";"2016MM05";"    94.4";"    -5.9";"       .";"   103.1";"     1.5";"     7.9"
"1694";"A047826";"2016MM06";"   101.1";"    -4.3";"       .";"   102.9";"     1.3";"     5.9"
"1695";"A047826";"2016KW02";"    95.3";"    -6.3";"       .";"   101.9";"     0.3";"     7.0"
"1696";"A047826";"2016MM07";"   116.1";"     6.7";"       .";"   109.2";"     5.0";"    -1.6"
"1697";"A047826";"2016MM08";"    94.9";"     1.3";"       .";"    90.8";"     2.1";"     0.8"
"1698";"A047826";"2016MM09";"    97.6";"    -3.9";"       .";"   101.5";"    -7.5";"    -3.7"
"1699";"A047826";"2016KW03";"   102.9";"     1.5";"       .";"   100.5";"    -0.4";"    -1.9"
"1700";"A047826";"2016MM10";"   108.4";"     5.8";"       .";"   111.2";"     3.9";"    -1.8"
"1701";"A047826";"2016MM11";"    90.3";"     8.0";"       .";"    93.2";"     7.6";"    -0.4"
"1702";"A047826";"2016MM12";"   112.8";"    -1.2";"       .";"   109.7";"     0.5";"     1.7"
"1703";"A047826";"2016KW04";"   103.9";"     3.7";"       .";"   104.7";"     3.7";"     0.0"
